year,sector,data_category,data_type,data_value,unit,data_source,area
1990,Agriculture,Livestock,Mature Sheep,3521415.15,Number,,Mainland
1990,Agriculture,Livestock,Mature Goats,8440648.92,Number,,Mainland
1990,Agriculture,Livestock,Mature Swine,316800,Number,,Mainland
1990,Agriculture,Livestock,Poultry Broilers,5028212.550699725,Number,,Mainland
1990,Agriculture,Livestock,Poultry Layers,5579844.882435495,Number,,Mainland
1990,Agriculture,Livestock,Poultry Indigenous,9686942.566864781,Number,,Mainland
1991,Agriculture,Livestock,Mature Dairy cattle,390203.4114,Number,,Mainland
1991,Agriculture,Livestock,Other Cattle,12616576.9686,Number,,Mainland
1991,Agriculture,Livestock,Mature Sheep,3520897.38,Number,,Mainland
1991,Agriculture,Livestock,Mature Goats,8725863.959999999,Number,,Mainland
1991,Agriculture,Livestock,Mature Swine,326700,Number,,Mainland
1991,Agriculture,Livestock,Poultry Broilers,6406915.991931698,Number,,Mainland
1991,Agriculture,Livestock,Poultry Layers,6369342.823993102,Number,,Mainland
1991,Agriculture,Livestock,Poultry Indigenous,9993741.1840751991,Number,,Mainland
1992,Agriculture,Livestock,Mature Dairy cattle,392933.97,Number,,Mainland
1992,Agriculture,Livestock,Other Cattle,12704865.03,Number,,Mainland
1992,Agriculture,Livestock,Mature Sheep,3520242,Number,,Mainland
1992,Agriculture,Livestock,Mature Goats,9017910,Number,,Mainland
1992,Agriculture,Livestock,Mature Swine,326700,Number,,Mainland
1992,Agriculture,Livestock,Poultry Broilers,7535981.831761796,Number,,Mainland
1992,Agriculture,Livestock,Poultry Layers,7021377.265332999,Number,,Mainland
1992,Agriculture,Livestock,Poultry Indigenous,10192640.902905207,Number,,Mainland
1993,Agriculture,Livestock,Mature Dairy cattle,395684.19,Number,,Mainland
1993,Agriculture,Livestock,Other Cattle,12793788.81,Number,,Mainland
1993,Agriculture,Livestock,Mature Sheep,3519578.7,Number,,Mainland
1993,Agriculture,Livestock,Mature Goats,9317068.2,Number,,Mainland
1993,Agriculture,Livestock,Mature Swine,331650,Number,,Mainland
